"Gender","Age","Education","Social_media_use","Political Label","CMQ","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","CRT","Accuracy_False","Accuracy_True","Sharing_False","Sharing_True","Confidence_False","Confidence_True","Condition"
2,6,3,2,3,2.4,3.5,3,4,2.5,1,5,2.13333333333333,3.51666666666667,1,1.2,3.05833333333333,3.025,"Control"
2,2,3,4,2,3,3,2.5,3.5,3.5,3,3,2.48333333333333,2.825,1.4,1.53333333333333,2.55,3.16666666666667,"Control"
1,3,2,1,3,2.6,3,1.5,2.5,2,3.5,6,2.10833333333333,3.65,1,1,2.94166666666667,2.46666666666667,"Control"
2,2,4,2,1,1.8,1,3,5,4,5,2,1.85,2.79166666666667,1.09166666666667,1.2,2.89166666666667,1.60833333333333,"Control"
1,5,4,2,4,4.4,2,1,2.5,5,3.5,7,2.93333333333333,3.56666666666667,1.04166666666667,1.125,3.05,2.40833333333333,"Control"
2,3,2,4,3,3.2,2,4.5,3,2,3,0,2.63333333333333,2.68333333333333,2.65,2.59166666666667,2.5,2.35833333333333,"Control"
2,2,3,2,3,2.8,2,3,2.5,2,4,3,2.51666666666667,3.81666666666667,1.91666666666667,2.675,3.46666666666667,3.26666666666667,"Control"
2,3,3,2,4,3.6,2.5,3.5,3,3,2,2,2.43333333333333,3.05833333333333,1.1,1.2,2.36666666666667,2.04166666666667,"Control"
2,4,2,1,4,1.8,2.5,3.5,5,5,3,5,1.69166666666667,3.10833333333333,1.31666666666667,1.35833333333333,2.51666666666667,1.46666666666667,"Control"
1,2,2,2,3,5,2,2,4.5,2,5,4,2.8,3.65,1,1,3.05,2.94166666666667,"Control"
1,2,3,3,1,3.4,2.5,4.5,4.5,3.5,1.5,5,2.375,3.71666666666667,1,1,3.24166666666667,2.56666666666667,"Control"
2,4,3,1,4,5,2,4,5,1,5,7,4.36666666666667,4.11666666666667,1,1,3.08333333333333,2.91666666666667,"Control"
1,3,2,2,4,2.4,2.5,4.5,5,1,4.5,4,1.78333333333333,3.44166666666667,1,1,3.33333333333333,3.06666666666667,"Control"
2,4,4,2,2,5,4,4,4,4,2.5,3,2.39166666666667,3.83333333333333,2.725,3.64166666666667,3.6,3.75,"Control"
1,3,3,3,4,4.6,2.5,3.5,3.5,2.5,2,2,3,3.25833333333333,2.90833333333333,3.275,3.11666666666667,3.43333333333333,"Control"
2,4,2,2,3,3.4,2,2,3,2,4,7,2.725,3.76666666666667,1.49166666666667,1.41666666666667,3.14166666666667,2.85833333333333,"Control"
2,2,2,2,4,4.4,2,4,3.5,3.5,4.5,2,2.825,3.45833333333333,1.14166666666667,1.19166666666667,1.74166666666667,1.95,"Control"
2,3,4,1,2,3.8,3,1.5,4.5,5,5,4,2.30833333333333,3.65,1.68333333333333,1.68333333333333,3.15,2.9,"Control"
2,5,3,2,2,3,4,4,5,3.5,1.5,2,1.98333333333333,3.275,1.25,2.36666666666667,3.05833333333333,2.725,"Control"
2,4,3,2,2,2.4,3,4,4,2.5,2.5,1,2.325,2.80833333333333,2.28333333333333,2.64166666666667,3.73333333333333,2.41666666666667,"Control"
2,2,3,5,2,3.4,2,3,4,3.5,3.5,6,3.38333333333333,3.46666666666667,2.80833333333333,2.86666666666667,3.175,3.25,"Control"
