iter	Passed	Remaining
0	20	20235
1	33	16523
2	46	15325
3	58	14578
4	71	14212
5	84	13974
6	97	13826
7	109	13600
8	121	13341
9	134	13326
10	146	13154
11	159	13145
12	171	13035
13	183	12938
14	196	12877
15	208	12828
16	219	12706
17	232	12671
18	243	12593
19	257	12596
20	269	12574
21	282	12547
22	294	12523
23	306	12479
24	318	12421
25	330	12390
26	344	12408
27	356	12378
28	369	12378
29	382	12367
30	395	12350
31	407	12334
32	419	12304
33	432	12289
34	445	12273
35	457	12240
36	469	12231
37	482	12226
38	494	12192
39	507	12169
40	520	12169
41	533	12169
42	547	12190
43	560	12172
44	574	12199
45	587	12175
46	599	12158
47	613	12160
48	625	12143
49	638	12133
50	651	12125
51	663	12097
52	676	12088
53	690	12094
54	703	12079
55	716	12074
56	729	12069
57	741	12042
58	754	12036
59	767	12031
60	779	12005
61	792	11985
62	805	11974
63	816	11947
64	830	11950
65	842	11928
66	855	11907
67	868	11897
68	879	11872
69	892	11855
70	905	11847
71	917	11827
72	930	11811
73	943	11804
74	956	11793
75	968	11776
76	980	11758
77	992	11737
78	1005	11716
79	1018	11707
80	1030	11692
81	1043	11683
82	1056	11677
83	1069	11657
84	1081	11636
85	1092	11612
86	1104	11594
87	1116	11566
88	1128	11553
89	1141	11538
90	1154	11528
91	1167	11520
92	1179	11498
93	1191	11488
94	1204	11469
95	1216	11459
96	1229	11444
97	1240	11421
98	1254	11418
99	1266	11400
100	1278	11378
101	1291	11366
102	1302	11346
103	1316	11340
104	1329	11335
105	1342	11320
106	1355	11309
107	1367	11291
108	1378	11270
109	1391	11259
110	1403	11244
111	1416	11231
112	1431	11233
113	1443	11215
114	1455	11200
115	1468	11194
116	1481	11182
117	1495	11175
118	1507	11162
119	1520	11148
120	1532	11133
121	1547	11139
122	1561	11134
123	1575	11127
124	1588	11117
125	1603	11124
126	1617	11119
127	1630	11105
128	1642	11090
129	1654	11073
130	1667	11061
131	1680	11051
132	1693	11041
133	1706	11026
134	1717	11007
135	1730	10993
136	1746	10999
137	1758	10986
138	1771	10975
139	1784	10962
140	1797	10949
141	1809	10936
142	1823	10925
143	1836	10915
144	1849	10907
145	1862	10894
146	1874	10876
147	1887	10867
148	1900	10852
149	1912	10837
150	1925	10824
151	1937	10806
152	1949	10791
153	1962	10779
154	1974	10765
155	1988	10756
156	2000	10741
157	2013	10727
158	2026	10721
159	2038	10704
160	2051	10692
161	2063	10676
162	2075	10658
163	2088	10646
164	2101	10633
165	2113	10620
166	2126	10607
167	2138	10591
168	2151	10578
169	2165	10572
170	2177	10556
171	2189	10541
172	2202	10528
173	2214	10511
174	2226	10497
175	2239	10483
176	2252	10471
177	2264	10458
178	2276	10443
179	2288	10426
180	2301	10412
181	2314	10403
182	2326	10387
183	2340	10377
184	2352	10362
185	2364	10347
186	2377	10335
187	2389	10320
188	2401	10306
189	2415	10295
190	2427	10282
191	2440	10270
192	2453	10259
193	2465	10245
194	2478	10231
195	2490	10217
196	2503	10203
197	2516	10191
198	2527	10175
199	2541	10164
200	2554	10156
201	2566	10140
202	2580	10130
203	2594	10122
204	2605	10106
205	2620	10099
206	2632	10083
207	2644	10069
208	2657	10057
209	2671	10050
210	2684	10037
211	2696	10023
212	2708	10007
213	2720	9993
214	2734	9982
215	2746	9970
216	2760	9959
217	2772	9944
218	2785	9933
219	2797	9918
220	2810	9907
221	2823	9893
222	2835	9881
223	2848	9867
224	2860	9853
225	2873	9840
226	2885	9825
227	2897	9809
228	2910	9797
229	2922	9783
230	2934	9769
231	2947	9755
232	2959	9741
233	2970	9724
234	2983	9710
235	2995	9696
236	3007	9683
237	3020	9670
238	3032	9656
239	3045	9643
240	3060	9637
241	3073	9626
242	3086	9615
243	3098	9599
244	3109	9583
245	3121	9567
246	3134	9554
247	3146	9541
248	3159	9530
249	3171	9514
250	3184	9503
251	3197	9492
252	3209	9476
253	3222	9464
254	3235	9451
255	3249	9442
256	3261	9429
257	3273	9413
258	3285	9398
259	3298	9386
260	3310	9374
261	3323	9362
262	3335	9346
263	3348	9334
264	3360	9320
265	3373	9308
266	3385	9295
267	3398	9283
268	3410	9269
269	3424	9257
270	3437	9246
271	3449	9231
272	3462	9220
273	3475	9208
274	3488	9197
275	3500	9183
276	3512	9169
277	3526	9157
278	3538	9144
279	3551	9132
280	3565	9124
281	3578	9111
282	3591	9100
283	3604	9088
284	3617	9074
285	3629	9061
286	3641	9047
287	3654	9033
288	3666	9020
289	3680	9009
290	3693	8997
291	3705	8984
292	3717	8970
293	3729	8956
294	3743	8946
295	3757	8937
296	3770	8925
297	3783	8911
298	3795	8897
299	3807	8883
300	3819	8870
301	3832	8858
302	3844	8844
303	3856	8829
304	3869	8816
305	3881	8803
306	3893	8789
307	3906	8776
308	3918	8762
309	3930	8748
310	3942	8735
311	3954	8719
312	3966	8705
313	3980	8695
314	3992	8681
315	4005	8669
316	4018	8657
317	4030	8643
318	4042	8630
319	4054	8616
320	4067	8603
321	4079	8590
322	4091	8576
323	4105	8565
324	4118	8553
325	4130	8540
326	4143	8527
327	4154	8512
328	4167	8498
329	4180	8486
330	4193	8475
331	4205	8460
332	4219	8451
333	4231	8437
334	4243	8424
335	4256	8412
336	4269	8400
337	4281	8386
338	4294	8373
339	4306	8360
340	4319	8347
341	4332	8334
342	4343	8320
343	4356	8307
344	4368	8293
345	4380	8279
346	4393	8267
347	4407	8257
348	4421	8247
349	4435	8237
350	4449	8227
351	4463	8217
352	4476	8204
353	4488	8191
354	4501	8179
355	4513	8165
356	4527	8154
357	4539	8141
358	4552	8128
359	4565	8117
360	4578	8103
361	4590	8090
362	4603	8078
363	4615	8064
364	4627	8051
365	4641	8040
366	4654	8027
367	4665	8013
368	4678	8000
369	4691	7987
370	4702	7973
371	4715	7960
372	4728	7948
373	4740	7934
374	4753	7921
375	4765	7908
376	4776	7893
377	4790	7882
378	4802	7868
379	4814	7855
380	4829	7846
381	4841	7832
382	4853	7819
383	4866	7806
384	4879	7794
385	4891	7781
386	4905	7769
387	4916	7755
388	4929	7742
389	4942	7730
390	4954	7716
391	4967	7704
392	4980	7692
393	4993	7679
394	5005	7667
395	5018	7655
396	5031	7642
397	5046	7632
398	5058	7619
399	5071	7606
400	5085	7596
401	5098	7585
402	5111	7572
403	5123	7558
404	5136	7546
405	5149	7533
406	5161	7520
407	5173	7506
408	5186	7494
409	5199	7481
410	5212	7469
411	5225	7457
412	5238	7445
413	5251	7432
414	5263	7419
415	5275	7406
416	5288	7394
417	5302	7383
418	5314	7368
419	5326	7355
420	5338	7342
421	5352	7330
422	5364	7317
423	5377	7305
424	5388	7290
425	5401	7277
426	5413	7264
427	5426	7251
428	5438	7238
429	5451	7226
430	5462	7212
431	5474	7198
432	5486	7184
433	5499	7172
434	5513	7161
435	5527	7150
436	5540	7137
437	5556	7129
438	5568	7116
439	5580	7102
440	5593	7089
441	5605	7076
442	5618	7064
443	5631	7052
444	5644	7040
445	5657	7026
446	5668	7012
447	5680	6999
448	5693	6987
449	5706	6974
450	5719	6962
451	5731	6948
452	5743	6935
453	5757	6924
454	5770	6911
455	5783	6899
456	5796	6887
457	5808	6873
458	5821	6861
459	5833	6848
460	5846	6835
461	5858	6822
462	5871	6809
463	5882	6795
464	5896	6783
465	5908	6770
466	5920	6757
467	5933	6745
468	5945	6732
469	5957	6718
470	5971	6706
471	5984	6694
472	5996	6680
473	6008	6667
474	6020	6654
475	6033	6642
476	6048	6631
477	6060	6618
478	6072	6604
479	6084	6591
480	6098	6579
481	6111	6567
482	6123	6555
483	6135	6541
484	6148	6529
485	6160	6515
486	6172	6501
487	6186	6490
488	6197	6476
489	6211	6465
490	6224	6452
491	6237	6440
