iter	Passed	Remaining
0	6	6695
1	12	6249
2	18	6032
3	23	5843
4	29	5815
5	34	5785
6	40	5765
7	46	5715
8	51	5675
9	56	5641
10	62	5633
11	68	5645
12	74	5636
13	79	5614
14	85	5614
15	91	5612
16	96	5587
17	102	5587
18	107	5573
19	113	5570
20	119	5554
21	124	5548
22	130	5539
23	135	5520
24	141	5510
25	146	5496
26	151	5475
27	157	5458
28	162	5440
29	167	5429
30	173	5435
31	179	5426
32	184	5413
33	190	5402
34	195	5394
35	201	5391
36	206	5380
37	212	5369
38	217	5363
39	223	5358
40	228	5353
41	234	5349
42	239	5340
43	245	5331
44	250	5319
45	256	5309
46	261	5302
47	266	5292
48	272	5281
49	277	5280
50	283	5275
51	288	5267
52	294	5265
53	300	5262
54	305	5253
55	311	5246
56	316	5238
57	322	5231
58	328	5231
59	333	5219
60	338	5205
61	343	5198
62	348	5187
63	354	5182
64	359	5173
65	365	5167
66	370	5158
67	376	5156
68	381	5147
69	386	5140
70	392	5134
71	397	5129
72	403	5121
73	408	5116
74	414	5109
75	419	5100
76	425	5097
77	430	5091
78	436	5089
79	442	5084
80	447	5077
81	452	5067
82	457	5059
83	463	5052
84	469	5049
85	474	5043
86	480	5039
87	485	5033
88	491	5030
89	496	5023
90	502	5015
91	507	5012
92	513	5007
93	518	5001
94	524	4995
95	530	4991
96	535	4985
97	541	4979
98	546	4974
99	551	4966
100	557	4965
101	563	4958
102	568	4949
103	574	4945
104	579	4939
105	585	4934
106	591	4935
107	596	4930
108	602	4925
109	607	4918
110	613	4916
111	619	4910
112	625	4909
113	631	4907
114	636	4898
115	642	4893
116	647	4884
117	652	4879
118	658	4873
119	663	4867
120	669	4861
121	674	4852
122	680	4848
123	685	4843
124	691	4837
125	696	4831
126	702	4825
127	707	4819
128	712	4812
129	718	4806
130	723	4800
131	729	4793
132	734	4787
133	739	4779
134	745	4778
135	751	4772
136	756	4766
137	761	4759
138	767	4753
139	772	4747
140	778	4741
141	783	4737
142	789	4732
143	795	4727
144	800	4722
145	806	4717
146	811	4710
147	817	4704
148	822	4696
149	827	4690
150	833	4684
151	838	4678
152	844	4672
153	849	4666
154	854	4660
155	860	4653
156	865	4647
157	870	4640
158	876	4636
159	882	4631
160	887	4624
161	892	4617
162	898	4612
163	904	4608
164	909	4602
165	914	4596
166	920	4590
167	925	4584
168	931	4578
169	937	4575
170	942	4570
171	948	4565
172	953	4559
173	959	4553
174	964	4547
175	970	4541
176	975	4537
177	981	4531
178	986	4524
179	991	4518
180	996	4510
181	1002	4503
182	1006	4495
183	1012	4489
184	1017	4482
185	1023	4477
186	1028	4471
187	1034	4466
188	1039	4461
189	1045	4455
190	1050	4449
191	1056	4444
192	1061	4439
193	1067	4433
194	1072	4427
195	1077	4421
196	1083	4415
197	1088	4410
198	1094	4404
199	1100	4400
200	1105	4393
201	1110	4387
202	1128	4431
203	1163	4539
204	1169	4535
205	1175	4528
206	1180	4521
207	1185	4515
208	1190	4507
209	1196	4500
210	1202	4495
211	1207	4488
212	1212	4481
213	1218	4476
